No,Nama_Senyawa,SMILES,BM,Titik_Didih,Kelarutan,Bahaya_MSDS,APD,Encer_Min,Encer_Max,Sedang_Min,Sedang_Max,Pekat_Min,Pekat_Max
25,Natrium Thiosulfat,[Na+].[S2O3-2],158.1,48,Tinggi,Iritasi,Nitril,0.1,0.5,0.6,1.0,1.5,2.0
26,Isopropanol,CC(C)O,60.1,82.6,Misibel,Flammable,Goggle,1.0,3.0,5.0,8.0,10.0,13.1
27,Fenol,Oc1ccccc1,94.11,181.7,Sedang,Toksik,Full APD,0.01,0.1,0.2,0.5,0.6,1.0
28,DMSO,CS(=O)C,78.13,189,Misibel,Iritasi,Nitril,1.0,3.0,5.0,8.0,10.0,14.1
29,Piridina,c1ccncc1,79.1,115.2,Misibel,Toksik,Lemari Asam,0.1,2.0,3.0,6.0,8.0,12.4
30,THF,C1CCOC1,72.11,66,Misibel,Flammable,Lemari Asam,1.0,3.0,4.0,7.0,9.0,12.3
31,Asam Fosfat,OP(=O)(O)O,98.0,158,Larut,Korosif,Goggle,0.1,1.0,2.0,5.0,8.0,14.7
32,Kalsium Klorida,Cl[Ca]Cl,110.9,1935,Tinggi,Iritasi,Goggle,0.1,1.0,2.0,4.0,5.0,7.0
33,Magnesium Sulfat,[Mg+2].[SO4-2],120.3,1124,Sedang,Aman,Jas Lab,0.1,0.5,0.6,1.0,1.5,2.0
34,Amonium Klorida,[NH4+].[Cl-],53.49,340,Sedang,Iritasi,Masker,0.1,1.0,1.5,3.0,4.0,5.0
35,Kalium Dikromat,[K+].[Cr2O7-2],294.1,500,Rendah,Karsinogen,Nitril,0.01,0.05,0.1,0.2,0.2,0.25
36,Natrium Karbonat,[Na+].[CO3-2],105.9,1600,Sedang,Iritasi,Goggle,0.1,0.5,0.6,1.0,1.5,2.0
37,Natrium Bikarbonat,[Na+].[HCO3-],84.01,270,Sedang,Aman,Jas Lab,0.1,0.3,0.4,0.7,0.8,1.0
38,Timbal(II) Nitrat,[Pb+2].[NO3-],331.2,470,Sedang,Toksik,Masker,0.01,0.05,0.1,0.3,0.4,0.5
39,Seng Sulfat,[Zn+2].[SO4-2],161.4,740,Sedang,Iritasi,Nitril,0.1,0.3,0.4,0.7,0.8,1.0
40,Aluminium Sulfat,[Al+3].[SO4-2],342.1,770,Sedang,Korosif,Goggle,0.05,0.1,0.2,0.4,0.4,0.5
41,Diklorometana,ClCCl,84.93,39.6,Rendah,Toksik,Lemari Asam,1.0,4.0,6.0,10.0,12.0,15.6
42,Asam Format,HCOOH,46.03,100.8,Misibel,Korosif,Lemari Asam,0.1,1.0,2.0,6.0,10.0,23.0
43,Glukosa,C(C1C(C(C(C(O1)O)O)O)O)O,180.1,146,Tinggi,Aman,Jas Lab,0.1,0.5,0.6,1.0,1.5,2.0
44,Gliserol,C(C(CO)O)O,92.09,290,Misibel,Aman,Jas Lab,1.0,3.0,5.0,8.0,10.0,12.6
45,Urea,C(=O)(N)N,60.06,133,Tinggi,Aman,Jas Lab,0.1,1.0,2.0,3.0,4.0,5.0
46,Natrium Hipoklorit,[Na+].[O-]Cl,74.44,101,Larut,Korosif,Goggle,0.05,0.2,0.5,1.0,1.5,2.0
47,Iodium,II,253.8,184.3,Rendah,Korosif,Nitril,0.01,0.02,0.05,0.1,0.1,0.1
48,Asam Fluorida,F,20.01,19.5,Larut,SGT TOKSIK,Full APD,0.1,1.0,5.0,15.0,20.0,28.0
49,Asam Bromida,Br,80.91,122,Larut,Korosif,Lemari Asam,0.1,1.0,2.0,5.0,6.0,8.9
50,Asam Perkhlorat,O=Cl(=O)(=O)O,100.4,203,Larut,Peledak,Goggle,0.1,0.5,1.0,3.0,5.0,9.0
51,Natrium Azida,[Na+].[N-]=[N+]=[N-],65.01,275,Tinggi,Toksik,Full APD,0.01,0.02,0.05,0.1,0.1,0.1
52,Naftalena,c1ccc2ccccc2c1,128.1,218,Tidak,Flammable,Masker,0.01,0.02,0.05,0.1,0.1,0.1
53,Etilen Glikol,OCCO,62.07,197.3,Misibel,Toksik,Goggle,1.0,5.0,8.0,12.0,15.0,17.8
54,Asam Sitrat,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.1,175,Tinggi,Iritasi,Jas Lab,0.1,0.5,1.0,1.5,1.8,2.0
55,Anilin,Nc1ccccc1,93.13,184,Rendah,Toksik,Lemari Asam,0.01,0.1,0.2,0.5,0.8,1.0
56,Litium Hidroksida,LiOH,23.95,462,Larut,Korosif,Sarung PVC,0.01,0.1,0.2,0.5,0.8,1.0
57,Kalium Sianida,[K+].[C-]#N,65.12,1625,Tinggi,MEMATIKAN,Full APD,0.01,0.1,0.2,0.5,0.8,1.0
58,Mangan(II) Sulfat,[Mn+2].[SO4-2],151.0,850,Sedang,Toksik,Nitril,0.1,0.3,0.5,0.8,0.9,1.0
59,Kobalt(II) Klorida,Cl[Co]Cl,129.8,1049,Sedang,Karsinogen,Masker,0.01,0.05,0.1,0.3,0.4,0.5
60,Nikel(II) Sulfat,[Ni+2].[SO4-2],154.7,103,Sedang,Karsinogen,Nitril,0.01,0.05,0.1,0.3,0.4,0.5
61,Kalium Bromida,[K+].[Br-],119.0,1435,Tinggi,Iritasi,Jas Lab,0.1,0.5,1.0,1.5,1.8,2.0
62,Natrium Nitrat,[Na+].[NO3-],84.99,380,Tinggi,Oksidator,Nitril,0.1,1.0,2.0,5.0,6.0,7.0
63,Kalsium Karbonat,[Ca+2].[CO3-2],100.0,825,Tidak,Aman,Jas Lab,0.1,0.3,0.5,0.8,0.9,1.0
64,Barium Sulfat,[Ba+2].[SO4-2],233.3,1600,Tidak,Aman,Jas Lab,0.1,0.2,0.3,0.4,0.4,0.5
65,Asam Borat,B(O)(O)O,61.83,300,Sedang,Toksik,Goggle,0.1,0.2,0.3,0.5,0.6,0.8
66,Asam Oksalat,C(=O)(C(=O)O)O,90.03,190,Sedang,Toksik,Nitril,0.1,0.3,0.4,0.7,0.8,1.0
67,Hidrazin,NN,32.05,114,Larut,SGT TOKSIK,Lemari Asam,0.1,0.2,0.4,0.7,0.8,1.0
68,Xylena,Cc1ccc(C)cc1,106.1,139,Tidak,Flammable,Lemari Asam,0.1,1.0,2.0,5.0,6.0,8.1
69,Kalium Kromat,[K+].[K+].[CrO4-2],194.1,1000,Sedang,Karsinogen,Nitril,0.01,0.05,0.1,0.2,0.2,0.25
70,Akuades,O,18.02,100,Misibel,Aman,Jas Lab,55.5,55.5,55.5,55.5,55.5,55.5

